language,pair,typology,resource_level,BLEU,chrF,COMET,n_samples
tr,en-tr,agglutinative,high,10.064403557707719,38.64271508736829,0.7627992567420006,500
fi,en-fi,agglutinative,medium,13.09156199620862,43.82624525177927,0.7761143593788147,500
hu,en-hu,agglutinative,medium,16.51471096284146,41.41407757903104,0.7567665595710278,500
ko,en-ko,agglutinative,high,2.0276136761799797,12.52453921715094,0.7152444136465241,499
ja,en-ja,agglutinative,high,6.753032995258178,15.458161782581248,0.7250818759202957,500
ta,en-ta,agglutinative,medium,3.8071069403457964,27.198820855930943,0.6608422456085682,500
kn,en-kn,agglutinative,low,4.053211897227484,8.29811689238196,0.4821741127644677,498
mn,en-mn,agglutinative,low,2.0050666356533746,12.223427416587104,0.5918205877743572,498
zh,en-zh,isolating,high,7.4628001526134105,25.426681220226204,0.7561520290183255,498
vi,en-vi,isolating,medium,15.149604525019452,33.761751491329534,0.7588524959087372,500
th,en-th,isolating,medium,4.143507570608319,27.363809949517716,0.6871377844512463,500
ms,en-ms,isolating,medium,15.810490615858129,42.53533017573511,0.7784208701252937,500
id,en-id,isolating,high,19.3770017913357,43.93221751119648,0.8133593177795411,500
km,en-km,isolating,low,6.537877431550052,10.926041714415787,0.5276319574415683,500
my,en-my,isolating,low,3.9017551548749205,9.352008338841365,0.49290939604113243,499
yo,en-yo,isolating,low,7.10286754305705,9.865053639609277,0.5039664058536291,500
es,en-es,fusional,high,31.994590306969346,56.32415258706045,0.7896490229070187,500
fr,en-fr,fusional,high,27.395957103455604,51.79035746468149,0.7510298412740231,500
de,de-en,fusional,high,25.627247636547562,47.363498195578494,0.7656024247407913,500
ru,en-ru,fusional,high,20.5693952888515,43.54995413321643,0.7716258123517037,500
pt,en-pt,fusional,high,28.82857661718323,52.86355411265144,0.7838430555462838,500
it,en-it,fusional,high,21.870210647160256,48.222550585279166,0.761140619635582,500
pl,en-pl,fusional,medium,17.845620381263778,43.692295529768224,0.7678071667551994,500
nl,en-nl,fusional,medium,23.191351555238764,49.38035004854026,0.7731262892484665,500
